property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
house,independent,sector 25,10.0,37037.0,2700.0,Plot area 2700(250.84 sq.m.)Built Up area: 9500 sq.ft. (882.58 sq.m.)Carpet area: 9000 sq.ft. (836.13 sq.m.),5,5,3+,3.0,East,Moderate Old,,9500.0,9000.0,0,1,0,1,0,0,29,540.0
flat,park royal apartment,sector 56,1.71,7600.0,2250.0,Built Up area: 2251 (209.12 sq.m.)Carpet area: 2250 sq.ft. (209.03 sq.m.),3,3,3+,5.0,North-East,Moderate Old,,2251.0,2250.0,0,1,0,0,0,2,118,750.0
flat,mahindra aura,sector 110,1.4,9655.0,1450.0,Super Built up area 1615(150.04 sq.m.)Built Up area: 1550 sq.ft. (144 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3,3,3,10.0,North,Relatively Old,1615.0,1550.0,1450.0,0,0,0,0,0,2,142,483.3333333333333
flat,ireo victory valley,sector 67,3.65,13529.0,2698.0,Super Built up area 2698(250.65 sq.m.)Built Up area: 2490 sq.ft. (231.33 sq.m.),3,4,3+,18.0,North,Relatively Old,2698.0,2490.0,,0,1,0,1,0,2,61,899.3333333333334
flat,signature global solera,sector 107,0.6,8000.0,750.0,Built Up area: 750 (69.68 sq.m.)Carpet area: 650 sq.ft. (60.39 sq.m.),3,2,2,8.0,,Undefined,,750.0,650.0,0,0,0,0,0,1,55,250.0
flat,tulip violet,sector 69,1.44,9125.0,1578.0,Super Built up area 1578(146.6 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),3,3,2,1.0,South,Relatively Old,1578.0,,1200.0,0,0,0,1,0,1,174,526.0
flat,m3m capital,sector 113,2.37,11499.0,2061.0,Built Up area: 2060 (191.38 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),4,4,3+,20.0,East,Under Construction,,2060.0,1600.0,1,0,0,0,0,1,143,515.25
flat,zara aavaas,sector 104,0.2,6645.0,301.0,Carpet area: 301 (27.96 sq.m.),1,2,2,3.0,,New property,,,301.0,0,0,0,0,0,1,67,301.0
flat,godrej nature plus,sector 33,1.5,10197.0,1471.0,Carpet area: 1385 (128.67 sq.m.),2,2,3+,2.0,South-East,Under Construction,,,1385.0,0,0,0,0,0,1,87,735.5
flat,m3m capital,sector 113,1.83,13969.0,1310.0,Built Up area: 1310 (121.7 sq.m.),2,2,0,7.0,,Undefined,,1310.0,,0,0,0,0,0,1,68,655.0
house,independent,sector 4,3.2,14222.0,2250.0,Plot area 250(209.03 sq.m.),3,3,2,2.0,,Old property,,2250.0,,0,0,0,0,0,1,13,750.0
flat,breez global heights 88a,sector 88a,0.5,8375.0,597.0,Carpet area: 597 (55.46 sq.m.),3,2,2,2.0,,Under Construction,,,597.0,0,0,0,0,0,1,15,199.0
